名称,品类,楼层,评分,人均(¥),标签,简介,月均客流,热度
BALLY,国际精品,S-L1,4.5,5000,皮具、奢侈,瑞士奢侈皮具品牌,600,0.58
Jimmy Choo,国际精品,S-L1,4.6,5500,鞋履、奢华,奢华鞋履与配饰,750,0.62
Versace,国际精品,S-L1,4.5,6000,奢侈、意式,意大利奢侈品牌,800,0.65
Lanvin,国际精品,S-L1,4.6,7000,高定、法式,法国高级时装品牌,500,0.55
Luminox,珠宝配饰,S-L1,4.3,3500,腕表、军表,瑞士军表品牌,380,0.42
THE ATELIER,珠宝配饰,S-L1,4.7,20000,婚纱、定制,高端婚纱礼服定制,120,0.38
尊界 MAEXTRO,汽车体验,S-L1,4.6,500000,汽车、豪华,华为尊界豪华汽车体验中心,600,0.55
Wolford,国际精品,S-L1,4.4,800,内衣、奢华,奥地利奢华丝袜内衣,400,0.48
Knatify,潮流品牌,S-L1,4.2,1200,新锐、设计师,新锐潮流品牌集合,350,0.45
DJULA,珠宝配饰,S-L1,4.5,8000,珠宝、先锋,巴黎先锋珠宝品牌,280,0.42
Maison Kitsune,国际精品,S-L1,4.4,2500,法日、生活方式,法日融合生活方式品牌,550,0.55
Starbucks,咖啡茶饮,S-L1,4.3,40,咖啡、臻选,星巴克臻选门店,3500,0.9
b3 Coffee,咖啡茶饮,S-L1,4.5,38,手冲、精品,精品手冲咖啡,1200,0.68
永璞,咖啡茶饮,S-L1,4.4,32,精品、本土,上海本土精品咖啡,1500,0.65
Tuna Maki,快餐轻食,S-B1,4.2,55,日料、快餐,日式手卷寿司,1800,0.78
麦当劳,快餐轻食,S-B1,4.1,35,快餐、人气,全球快餐连锁,4500,0.92
SUBWAY,快餐轻食,S-B1,4,30,三明治、健康,三明治快餐,2200,0.75
么蛮,快餐轻食,S-B1,4.3,45,中式、创意,创意中式简餐,1200,0.62
混果汁,咖啡茶饮,S-B1,4.2,25,果汁、健康,鲜榨果汁品牌,2000,0.8
超级猩猩,运动健身,S-B1,4.4,129,健身、团课,团课健身品牌,800,0.6
charfon bijun,美容美发,S-B1,4.3,280,美甲、美睫,日式美甲美睫,350,0.48
丽拉瓦迪泰式SPA,美容美发,S-B1,4.5,500,SPA、泰式,正宗泰式按摩SPA,180,0.4
BRANEW,美容美发,S-B1,4.4,400,护肤、韩式,韩式皮肤管理,250,0.42
丝域养发,美容美发,S-B1,4.3,300,养发、护理,头皮头发护理,200,0.38
B'S Brows,美容美发,S-B1,4.3,180,眉形、设计,专业眉形设计,220,0.4
美妆灵感空间,美容美发,S-B1,4.2,200,美妆、体验,美妆体验空间,400,0.48
周大福,珠宝配饰,S-B1,4.5,3800,珠宝、黄金,中华老字号珠宝品牌,1100,0.62
FIVE DOCTORS,美容美发,S-B1,4.3,3000,医美、高端,高端医美诊所,100,0.3
阿不就台湾食堂,快餐轻食,S-B2,4.3,45,台湾、小吃,台湾风味小吃,900,0.55
莆田,品质中餐,S-B2,4.4,180,福建菜、米其林,福建莆田米其林餐厅,650,0.58
喜茶,咖啡茶饮,S-B2,4.3,25,茶饮、网红,新式茶饮开创者,3500,0.88
小爱同学,科技数码,S-B2,4.3,500,智能、体验,小米AIoT体验店,1800,0.7
小米,科技数码,S-B2,4.4,1500,数码、旗舰,小米之家旗舰店,2500,0.78
哈曼卡顿,科技数码,S-B2,4.5,3000,音响、高端,高端音响体验店,600,0.42
PET WISH,宠物服务,S-B2,4.2,150,宠物、用品,宠物愿望清单商店,500,0.4
全家,便利生活,S-B2,4.1,15,便利店、24h,24小时便利店,5000,0.92
PonyStar,宠物服务,S-B2,4.3,80,萌宠、互动,萌宠互动体验馆,800,0.52
GALAXY AUTO STUDIO,汽车体验,S-B3,4.6,300000,汽车、体验,车皇汽车体验中心,300,0.42
BFC FITNESS健身会馆,运动健身,S1-5F,4.5,800,健身、高端,高端健身会馆，泳池/私教/团课,380,0.48
上海滩餐厅,精致餐饮,N-L3-5F,4.5,700,上海菜、地标,上海滩品牌旗舰餐厅,220,0.52
新荣记,精致餐饮,N-L3-3F,4.8,1200,米其林、台州菜,米其林台州菜标杆,280,0.6
DA Vittorio Shanghai,精致餐饮,N-L3-3F,4.8,2000,米其林三星、意餐,米其林三星意大利餐厅,160,0.48
柴门荟,精致餐饮,N-L3-2F,4.4,500,川菜、高端,川菜高端品牌,300,0.55
莱珀妮 La Prairie,国际精品,N-L3-1F,4.7,5000,护肤、奢华,瑞士奢华护肤品牌,350,0.48
陆家居,生活方式,N-L3-1F,4.3,3000,家居、高端,高端家居品牌集合,200,0.38
梅赛德斯-迈巴赫,汽车体验,N-L3-1F,4.7,2000000,汽车、迈巴赫,迈巴赫城市品牌中心,400,0.48
隐溪茶馆 SPA,茶馆SPA,N-L2-2F,4.6,300,茶馆、SPA、养生,精品茶馆与SPA养生空间,500,0.55
白茸,网红餐饮,N-L2-1F,4.3,180,创意、新派,新派创意料理,900,0.65
复兴面王深夜食堂,网红餐饮,N-L2-1F,4.4,45,面馆、深夜,深夜人气面馆,2200,0.82
PHANTACI,潮流品牌,N-L2-1F,4.3,1200,周杰伦、潮牌,周杰伦潮流品牌店,1500,0.72
橘炭胡同·乌喜,网红餐饮,N-L2-1F,4.4,200,烧鸟、居酒屋,日式烧鸟居酒屋,600,0.58
哥哥的深夜食堂,网红餐饮,N-L2-1F,4.2,100,日式、深夜,深夜日式食堂,800,0.6
PEANUT BUTTER,网红餐饮,N-L1-1F,4.2,75,汉堡、美式,美式创意汉堡,1100,0.68
满堂 by Bar Choice,精致餐饮,N-L1-1F,4.5,280,鸡尾酒、餐吧,精品鸡尾酒餐吧,600,0.62
NUMATA·SOU 沼田双,潮流品牌,N-L1-1F,4.3,1500,日系、买手,日系买手集合店,450,0.48
不入川豆花馆,快餐轻食,N-B1,4.3,30,川味、豆花,地道川味豆花,1200,0.62
米崎,快餐轻食,N-B1,4.2,40,日式、便当,日式便当,900,0.55
沄南云海肴,品质中餐,N-B1,4.4,120,云南菜、特色,云南菜名店,750,0.58
MANNER,咖啡茶饮,N-B1,4.5,20,精品、咖啡,上海精品咖啡标杆,2800,0.85
林里柠檬茶,咖啡茶饮,N-B1,4.3,18,柠檬茶、手打,手打柠檬茶,2000,0.75
陈香贵,快餐轻食,N-B1,4.3,35,面食、兰州,兰州牛肉面,1800,0.7
小吃堂,快餐轻食,N-B1,4.1,25,小吃、集合,各地小吃集合,2200,0.72
全家,便利生活,N-B1,4.1,15,便利店、24h,24小时便利店,3500,0.85
火星宠物超市,宠物服务,N-B1,4.2,120,宠物、超市,大型宠物用品超市,600,0.5
AirPark,宠物服务,N-B1,4.3,50,宠物、时尚,宠物友好时尚街区,700,0.55
PET MART,宠物服务,N-B1,4.2,180,宠物、精品,宠物精品集合店,450,0.45
大丰和风食堂,快餐轻食,N-B2,4.2,50,日式、定食,日式定食食堂,800,0.52
茶姬,咖啡茶饮,N-B2,4.3,22,茶饮、新式,新式茶饮,1600,0.65
湖南饭店,品质中餐,N-B2,4.3,80,湘菜、地道,地道湘菜,700,0.55
东发道茶冰厅,快餐轻食,N-B2,4.3,60,港式、茶餐厅,港式茶餐厅,1200,0.65
丘大叔米粉,快餐轻食,N-B2,4.1,30,米粉、手工,手工米粉,900,0.52
MANNER,咖啡茶饮,N-B2,4.5,20,精品、咖啡,精品咖啡,2000,0.78
一点点,咖啡茶饮,N-B2,4.2,15,台式、奶茶,台式手摇茶,2500,0.8
陈香贵,快餐轻食,N-B2,4.3,35,面食、兰州,兰州牛肉面,1400,0.62
九木杂物社,文创杂货,N-B2,4.3,50,文创、杂货,文创杂货集合店,900,0.55
多抓鱼,文创杂货,N-B2,4.4,40,二手、循环,二手循环商店,1100,0.6
READ&SOCIAL,文创杂货,N-B2,4.3,35,阅读、社交,阅读社交空间,600,0.42
CLAWGALLERY,文创杂货,N-B2,4.4,200,艺术、潮流,潮流艺术画廊,400,0.4
